"","pid","STATION_KEY","NHDP21_COM","POURID","SITE_NAME","HU_6_NAME","HU_8_NAME","HU_10_NAME","HU_12_NAME","HU_08","HU_10","HU_12","LONG_RAW","LAT_RAW","NHDHigh","NHDh_Reach","NHDP21_Rea","NHDP12_COM","RESOLUTION","ECO3_NAME","VERSION","X","Y","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","NEAR_ANGLE","rid","ratio","upDist","afvArea","locID","netID","ORIG_FID","log10_pred","sum_1095_days","XSLOPE_MAP","MIN_Z","OWN_FED_PRCA","DIS_1YR_PARSA","HDWTR","log10_BSTI.predSE","log10_obs","log10_pred_uci","log10_pred_lci","obs","pred","pred_uci","pred_lci","Sed_Stressor","pr_target"
"157",919,"37185",23890136,278,"Morris Creek at RM 3.82","Northern Oregon Coastal","Siuslaw","North Fork Siuslaw River","Lower North Fork Siuslaw River",17100206,171002060,171002060702,-124.034005,44.074375,NA,"NA",17100206000300,23890136,"Medium","Coast Range","SSN_ALL_20140822",-2205600,2670300,14381,0,-2205600,2670300,0,14380,0.397706268765,28716.5973851,0.00126557108949,"956","34",348,1.10701873367818,0.190448257443523,-0.333974081006821,-0.174374556987503,0.725112163746352,-0.192068737167937,"1",0.177202344171413,1.17609125905568,1.39849065219283,0.815546815163527,15,13,25,7,TRUE,13.3
"109",871,"37179",23882110,252,"Deer Creek at RM 2.41","Northern Oregon Coastal","Siletz-Yaquina","Big Elk Creek","Middle Big Elk Creek",17100204,171002040,171002040202,-123.777972,44.588801,NA,"NA",17100204000700,23882110,"Medium","Coast Range","SSN_ALL_20140822",-2169540,2719260,11197,0,-2169540,2719260,0,11196,0.87977707383,65739.8008206,0.0161463717225,"951","24",220,1.24579647378168,-0.113559796173619,-0.399787742101333,-0.273895724689925,0.300113383902797,-0.192068737167937,"0",0.169502603876032,1.6232492903979,1.52460344654489,0.966989501018472,42,18,33,9,TRUE,57.1
"141",903,"37165",23889976,284,"McLeod Creek at RM 2.1","Northern Oregon Coastal","Siuslaw","North Fork Siuslaw River","Upper North Fork Siuslaw River",17100206,171002060,171002060701,-123.932837,44.072768,NA,"NA",17100206000300,23889976,"Medium","Coast Range","SSN_ALL_20140822",-2197920,2667780,11479,0,-2197920,2667780,0,11478,0.265502880077,38840.486989,0.0101853287609,"942","34",332,1.00495462448637,0.0933487979357181,-0.341845696245784,-0.467764652494133,0.69928834543606,-0.192068737167937,"0",0.169694625399489,1.07918124604762,1.28407744454889,0.725831804423847,12,10,19,5,TRUE,16.7
"178",940,"34695",23893323,342,"Fivemile Cr at Mouth","Northern Oregon Coastal","Siltcoos","Siltcoos River-Frontal Pacific Ocean","Tahkenitch Lake-Frontal Pacific Ocean",17100207,171002070,171002070104,-124.0143,43.838,NA,"NA",1.7100207e+13,23893323,"Medium","Coast Range","SSN_ALL_20140822",-2211720,2644620,11957,0,-2211720,2644620,0,11956,0.0403242230878,22650.0183823,0.117818039536,"893","26",369,1.29713851442322,-0.116796501624167,-0.197831267948399,-0.517654975770407,0.300113383902797,-0.192068737167937,"0",0.157924096892823,1.32221929473392,1.55690053798041,1.03737649086602,21,20,36,11,TRUE,4.8
"74",836,"34672",23881290,159,"Deer Cr at Mouth","Northern Oregon Coastal","Siletz-Yaquina","Salmon River","Upper Salmon River",17100204,171002040,171002040802,-123.8214,45.0255,NA,"NA",17100204000300,23881290,"Medium","Coast Range","SSN_ALL_20140822",-2158800,2766810,5359,0,-2158800,2766810,0,5358,0.0428932188135,20016.748904,0.0382030119122,"871","4",185,0.514406937859724,0.543161682188042,0.361961851412367,-0.198557048280207,0.300113383902797,-0.192068737167937,"0",0.176085038515023,0.602059991327962,0.804041052113049,0.224772823606399,4,3,6,2,TRUE,25
"404",1173,"34665",23889594,358,"Siuslaw R at RM 57.02","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","Whitaker Creek-Siuslaw River",17100206,171002060,171002060308,-123.6301,43.9255,NA,"NA",17100206000100,23889594,"Medium","Coast Range","SSN_ALL_20140822",-2179560,2645100,15995,0,-2179560,2645100,0,15994,0.355601698335,97301.3267789,0.221930960734,"865","34",293,1.28481571568282,-0.691279629097204,-0.377320980030291,-0.128897064544954,0.300113383902797,-0.192068737167937,"0",0.176779723436629,1.44715803134222,1.57559248494904,0.994038946416608,28,19,38,10,TRUE,32.1
"372",1139,"34660",23886652,222,"Oliver Cr at RM 0.63","Northern Oregon Coastal","Alsea","Beaver Creek-Frontal Pacific Ocean","Beaver Creek",17100205,171002050,171002050501,-124.037,44.4724,NA,"NA",17100205000300,23886652,"Medium","Coast Range","SSN_ALL_20140822",-2192940,2712810,10125,0,-2192940,2712810,0,10124,0.8233930488,9162.19912835,0.0655524344723,"860","23",259,1.33060352369661,-0.433864398397887,-0.296372308491023,-0.540260920117822,0.300113383902797,-0.192068737167937,"0",0.1795458921243,1.69897000433602,1.62593023556151,1.03527681183172,50,21,42,11,TRUE,58
"365",1132,"34659",23886536,223,"Beaver Cr NF at RM 3.06","Northern Oregon Coastal","Alsea","Beaver Creek-Frontal Pacific Ocean","Beaver Creek",17100205,171002050,171002050501,-123.9877,44.5234,NA,"NA",17100205000200,23886536,"Medium","Coast Range","SSN_ALL_20140822",-2187540,2717130,11216,0,-2187540,2717130,0,11215,0.177821560366,13610.2099475,0.349973004778,"859","23",252,1.12561092850765,-0.225535440905599,-0.249579333275104,-0.519558474550246,0.300113383902797,-0.192068737167937,"0",0.175492372898157,1.17609125905568,1.41427019457151,0.836951662443799,15,13,26,7,TRUE,13.3
"168",930,"34645",23890518,378,"Russell Cr at RM 0.20","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","Siuslaw Falls-Siuslaw River",17100206,171002060,171002060304,-123.3603,43.8553,NA,"NA",17100206000500,23890518,"Medium","Willamette Valley","SSN_ALL_20140822",-2161050,2631360,16868,0,-2161050,2631360,0,16867,0.872260419103,163054.878683,0.00426981550754,"846","34",359,1.25518428455343,-0.686625172419579,-0.312533456259115,0.0957747927726366,0.300113383902797,-0.192068737167937,"0",0.160121055829144,1.46239799789896,1.51855998398529,0.991808585121559,29,18,33,10,TRUE,37.9
"370",1137,"34521",23886632,260,"Needle Branch","Northern Oregon Coastal","Alsea","Drift Creek","Middle Drift Creek",17100205,171002050,171002050302,-123.8554,44.5103,NA,"NA",17100205000300,23886632,"Medium","Coast Range","SSN_ALL_20140822",-2177910,2712690,10130,0,-2177910,2712690,0,10129,0.303956033953,43538.457762,0.00101714279992,"812","16",257,1.12415029962005,-0.0382658935827026,-0.0914983482020681,-0.0372322132438282,0.300113383902797,-0.192068737167937,"1",0.164843104608069,1.17609125905568,1.39529307811257,0.853007521127525,15,13,25,7,TRUE,13.3
"58",820,"33363",23881040,165,"Drift Cr","Northern Oregon Coastal","Siletz-Yaquina","Lower Siletz River-Frontal Pacific Ocean","Lower Drift Creek",17100204,171002040,171002040707,-123.9536,44.89247,NA,"NA",17100204000200,23881040,"Medium","Coast Range","SSN_ALL_20140822",-2173050,2755620,9121,0,-2173050,2755620,0,9120,0.85631960699,14063.2250994,0.10204100522,"761","21",169,0.868318693657216,0.318409925339539,-0.32667911092402,-0.444628869035023,0.300113383902797,-0.192068737167937,"0",0.174662520476884,0.954242509439325,1.1556129739561,0.581024413358328,9,7,14,4,TRUE,22.2
"359",1126,"33361",23880936,198,"Siletz R, S Fk","Northern Oregon Coastal","Siletz-Yaquina","Upper Siletz River","South Fork Siletz River",17100204,171002040,171002040403,-123.6994,44.87783,NA,"NA",17100204000200,23880936,"Medium","Coast Range","SSN_ALL_20140822",-2154360,2748300,9464,0,-2154360,2748300,0,9463,0.904481549985,115727.482605,0.0898339063017,"759","21",162,0.762974833352809,0.594852542067216,-0.277066151904857,0.314094226558399,0.300113383902797,-0.192068737167937,"0",0.177816791560706,0.954242509439325,1.05545742788431,0.470492238821308,9,6,11,3,TRUE,33.3
"3",763,"33333",0,379,"Simpson Cr","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","Siuslaw Falls-Siuslaw River",17100206,171002060,171002060304,-123.3604,43.8527,"Yes","1.7100206012e+013",0,23890512,"High","Willamette Valley","SSN_ALL_20140822",-2161110,2631150,12163,0,-2161110,2631150,0,12162,0.447286750886,163314.58431,0.000314750995175,"738","34",3,1.31211541715457,-0.735797778792558,1.20016351517553,0.130197223064686,0.300113383902797,-0.192068737167937,"1",0.163450189960743,1.36172783601759,1.58096705493741,1.04326377937174,23,21,38,11,TRUE,8.7
"165",927,"33331",23890500,381,"Jeans Cr","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","Dogwood Creek-Siuslaw River",17100206,171002060,171002060305,-123.4551,43.8656,NA,"NA",17100206000500,23890500,"Medium","Coast Range","SSN_ALL_20140822",-2167980,2634720,10200,0,-2167980,2634720,0,10199,0.211853951554,146326.876529,0.00151085389325,"736","34",356,1.20413112144765,-0.69510229714994,-0.0025895095344819,0.0602499309358871,0.300113383902797,-0.192068737167937,"0",0.175612043818995,1.27875360095283,1.49298722865968,0.915275014235614,19,16,31,8,TRUE,15.8
"166",928,"33329",23890504,382,"Bear Cr","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","North Creek-Siuslaw River",17100206,171002060,171002060306,-123.5108,43.85583,NA,"NA",17100206000500,23890504,"Medium","Coast Range","SSN_ALL_20140822",-2172630,2634900,10216,0,-2172630,2634900,0,10215,0.733530161084,130825.493424,0.00340057666806,"735","34",357,1.24385111912548,-0.567392539728658,-0.0025895095344819,0.0484083103236372,0.579166853131255,-0.192068737167937,"0",0.173155536289228,1.32221929473392,1.52866663101754,0.959035607233416,21,18,34,9,TRUE,14.3
"403",1171,"33327",23889584,361,"Esmond Cr, Trib A","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","Esmond Creek",17100206,171002060,171002060307,-123.6578,43.88412,NA,"NA",17100206000100,23890458,"Medium","Coast Range","SSN_ALL_20140822",-2182980,2641320,16266,0,-2182980,2641320,0,16265,0.0899173811299,100812.941495,0.00114180291087,"733","34",291,1.19002144848257,-0.353549406822108,0.43086486486642,-0.0148902687474519,0.722141919987603,-0.192068737167937,"0",0.177147233413258,1.34242268082221,1.48140271786679,0.898640179098353,22,15,30,8,TRUE,31.8
"410",1179,"33325",23889682,385,"Wolf Cr","Northern Oregon Coastal","Siuslaw","Wolf Creek","Lower Wolf Creek",17100206,171002060,171002060102,-123.5257,43.94005,NA,"NA",17100206000100,23889682,"Medium","Coast Range","SSN_ALL_20140822",-2171010,2644320,11955,0,-2171010,2644320,0,11954,0.354691816068,110625.653609,0.0584337993234,"731","34",299,1.16600790761602,-0.607819763611416,-0.387149591581712,0.0563027240651371,0.300113383902797,-0.192068737167937,"0",0.165349374981604,1.25527250510331,1.43798342676867,0.89403238846337,18,15,27,8,TRUE,16.7
"423",1192,"33320",23889856,306,"Indian Cr","Northern Oregon Coastal","Siuslaw","Indian Creek","Upper Indian Creek",17100206,171002060,171002060501,-123.8309,44.1518,NA,"NA",17100206000200,23889856,"Medium","Coast Range","SSN_ALL_20140822",-2187660,2673840,14179,0,-2187660,2673840,0,14178,0.0325878413808,75174.9393414,0.0267402139315,"728","34",312,1.16810860768535,-0.208828542237163,-0.195154601168799,-0.150700969664922,0.326854162074362,-0.192068737167937,"0",0.176240659467544,1.30102999566398,1.45799869562686,0.878218519743846,20,15,29,8,TRUE,25
"402",1170,"30403",23889568,363,"Siuslaw River","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","Whitaker Creek-Siuslaw River",17100206,171002060,171002060308,-123.64101,43.98699,NA,"NA",17100206000100,23889568,"Medium","Coast Range","SSN_ALL_20140822",-2178360,2651910,15557,0,-2178360,2651910,0,15556,0.868716865867,79941.1925909,0.335452437775,"672","34",290,1.3404316911446,-0.72064556439613,-0.396763071231015,-0.204692909759843,0.300113383902797,-0.192068737167937,"0",0.177315291566261,1.60205999132796,1.63208939159132,1.04877399069787,40,22,43,11,TRUE,45
"399",1166,"29906",23889456,312,"Sweet Cr (Siuslaw)","Northern Oregon Coastal","Siuslaw","Lower Siuslaw River","Sweet Creek",17100206,171002060,171002060802,-123.89859,43.99479,NA,"NA",1.7100206e+13,23889456,"Medium","Coast Range","SSN_ALL_20140822",-2197860,2658660,14971,0,-2197860,2658660,0,14970,0.940826633947,30576.597385,0.0305169590365,"657","34",286,1.19086855461745,-0.29804737891137,-0.356987720130106,-0.556000636787582,0.300113383902797,-0.192068737167937,"0",0.176416714975887,1.43136376415899,1.48104822810041,0.900688881134503,27,16,30,8,TRUE,40.7
"407",1176,"26964",23889624,388,"Siuslaw R","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","North Creek-Siuslaw River",17100206,171002060,171002060306,-123.50238,43.87554,NA,"NA",17100206000100,23889624,"Medium","Coast Range","SSN_ALL_20140822",-2171220,2636850,16562,0,-2171220,2636850,0,16561,0.0378285950039,131706.153596,0.179724271598,"648","34",296,1.31228660430946,-0.78835072401974,-0.388339231602487,0.0166790826138008,0.346023837946126,-0.192068737167937,"0",0.16498238525614,1.46239799789896,1.58365847908113,1.0409147295378,29,21,38,11,TRUE,27.6
"422",1191,"26822",23889844,314,"Indian Cr","Northern Oregon Coastal","Siuslaw","Indian Creek","Lower Indian Creek",17100206,171002060,171002060502,-123.80465,44.09709,NA,"NA",17100206000200,23889844,"Medium","Coast Range","SSN_ALL_20140822",-2187300,2667420,11496,0,-2187300,2667420,0,11495,0.422477584982,56622.235893,0.0619614439219,"637","34",311,1.12726603299256,-0.373009582851316,-0.380284621144854,-0.298535384787801,0.725112163746352,-0.192068737167937,"0",0.1655513685948,1.30102999566398,1.3995738020725,0.854958263912623,20,13,25,7,TRUE,35
"87",849,"26818",23881634,210,"Siletz River South Fork","Northern Oregon Coastal","Siletz-Yaquina","Upper Siletz River","South Fork Siletz River",17100204,171002040,171002040403,-123.63257,44.82279,NA,"NA",17100204000500,23881634,"Medium","Coast Range","SSN_ALL_20140822",-2151060,2740920,9890,0,-2151060,2740920,0,9889,0.738796125036,127035.047533,0.0271319350161,"635","21",198,1.03232414780976,0.300710851442874,-0.372068948261077,0.761613420888163,0.300113383902797,-0.192068737167937,"0",0.179956399640156,1.32221929473392,1.328326084451,0.736322211168519,21,11,21,5,TRUE,47.6
"405",1174,"26816",23889602,389,"Siuslaw R","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","North Creek-Siuslaw River",17100206,171002060,171002060306,-123.59894,43.9049,NA,"NA",17100206000100,23889602,"Medium","Coast Range","SSN_ALL_20140822",-2177790,2642130,16234,0,-2177790,2642130,0,16233,0.0723148042058,105566.982618,0.214001932263,"634","34",294,1.24741531090029,-0.766039520666135,-0.361304648097473,-0.105552269651315,0.300113383902797,-0.192068737167937,"0",0.175055263948181,1.30102999566398,1.5353555967224,0.959475025078176,20,18,34,9,TRUE,10
"406",1175,"25297",23889616,390,"Siuslaw River at RM 76.2","Northern Oregon Coastal","Siuslaw","Upper Siuslaw River","North Creek-Siuslaw River",17100206,171002060,171002060306,-123.50679,43.88247,NA,"NA",17100206000100,23889616,"Medium","Coast Range","SSN_ALL_20140822",-2171370,2637660,6417,0,-2171370,2637660,0,6416,0.427080916502,125385.350571,0.194996501947,"624","34",295,1.24048897799048,-0.71249037042553,-0.380676857390168,-0.0266328289375643,0.300113383902797,-0.192068737167937,"0",0.165168003530164,1.36172783601759,1.5121661676534,0.968811788327555,23,17,33,9,TRUE,26.1
"105",867,"21792",23882074,180,"Montgomery Cr","Northern Oregon Coastal","Siletz-Yaquina","Lower Yaquina River","Poole Slough-Yaquina River",17100204,171002040,171002040303,-123.92975,44.58077,NA,"NA",17100204000700,23882324,"Medium","Coast Range","SSN_ALL_20140822",-2181300,2721930,11062,0,-2181300,2721930,0,11061,0.98034207065,19878.2921934,0.00474638231057,"574","24",216,1.27679875963272,0.137606093275793,-0.130603319686151,-0.534331152108334,0.300113383902797,-0.192068737167937,"0",0.161046466654315,1.55630250076729,1.54169662441679,1.01190089484865,36,19,35,10,TRUE,47.2
