"","var_name","var_index","median","Advance.to.Step.2"
"70","PADISRSA_10YR",102,0.269398160593601,NA
"71","DROADX",63,0.266351152514289,NA
"72","ROADLENRCAM",7,0.260976307727283,NA
"73","X2year_count_365_days",34,0.234612244047541,NA
"74","POWNRSA_AGR",81,0.229328277709357,NA
"75","DROADLENRSAM",65,0.191870081237266,NA
"76","YEAR",50,0.173920576987065,NA
"77","X6month_count_365_days",33,0.162820382364398,NA
"78","X2year_count_1095_days",40,0.154113855769056,NA
"79","PAOWNRSA_ODF",110,0.145597222944775,NA
"80","PAOWNRCA_ODF",105,0.137957331466977,NA
"81","PAOWNRSA_URB",112,0.124635459845155,NA
"82","POWNRCA_AGR",76,0.107995814455947,NA
"83","X10year_count_365_days",35,0.0906890808906741,NA
"84","ROADX",6,0.0886865344026017,NA
"85","POWNRCA_ODF",73,0.0618691764619344,NA
"86","POWNRSA_ODF",78,0.0475052899550512,NA
"87","POWNRCA_URB",75,0.0472266438094532,NA
"88","PLITHCOMPRCA",52,0.0367219960961474,NA
"89","X10year_count_1095_days",41,0.0355017261889,NA
"90","X25year_count_365_days",36,0.0298924301564912,NA
"91","SINUMAP",9,0.0297011052242667,NA
"92","PLITHCOMPRSA",53,0.0182494237450084,NA
"93","X6month_count_180_days",27,0.0125213717671183,NA
"94","X50year_count_1095_days",43,0.00713050193491365,NA
"95","POWNRSA_URB",80,0.0052335768361497,NA
"96","X25year_count_1095_days",42,0.000788327537962789,NA
"97","X100year_count_1095_days",44,0.000119590463217865,NA
"98","X100year_count_180_days",32,0,NA
"99","X100year_count_60_days",26,0,NA
"100","X10year_count_180_days",29,0,NA
"101","X10year_count_60_days",23,0,NA
"102","X25year_count_180_days",30,0,NA
"103","X25year_count_60_days",24,0,NA
"104","X2year_count_60_days",22,0,NA
"105","X50year_count_180_days",31,0,NA
"106","X50year_count_60_days",25,0,NA
"107","X6month_count_60_days",21,-0.000119251740300982,NA
"108","X2year_count_180_days",28,-0.000142847638428536,NA
"109","X100year_count_365_days",38,-0.000197656084415108,NA
"110","X50year_count_365_days",37,-0.000241825627603351,NA
"111","MONTH",51,-0.00822220434634405,NA
"112","SPLASH",5,-0.188673081445141,NA
"113","ASPLASH",11,-0.41252900944876,NA
