"","SVN","STATION_KEY","SY","SITE_NAME","PREDATOR_Nov05_model","PREDATOR_Nov05_score","PREDATOR_Nov05_Condition","Year_Sampled","Ref_Samples","NewSample","FSS_May05_trans","AREAWTMAP","MAFLOWU_trans","SLOPE_trans","PRECIPSITE_MM_trans","STRMPOWER_trans","LONG_NHD_trans","LAT_NHD","ELEV_FT_trans","PCT_FSP3_trans","ERODRES_CAT","sample_status","biocriteria_status","biocriteria_status.OLD","FSS","Q75TH","fss_pred_trans","fss_pred","fss_pred_resids_trans","fss_pred_resids","Group","Q90TH","fss_resid_cond","sediment_resid_status","NEW_STATION","NEW_SAMPLE","NEW"
"153","06014DFW","33327","33327 2006","Esmond Cr, Trib A","MWCF",0.65,"Most disturbed",2006,0,"",1.36172783601759,1328.08,0.565332969071618,0.230759615184287,3.2464985807958,0.0578477812564762,123.6584642,43.88403549,21.7255609824004,1.47062890563334,"E","Impaired","Impaired","Impaired","22",14,1.0152349953652,9.35702430383774,0.346492840652391,-7.99529646782015,"Group 4",20,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"154","06015DFW","33334","33334 2006","Cape Cr","MWCF",0.95,"Least disturbed",2006,0,"",1.04139268515823,2292.18331,1.75835845757278,0.101734949746879,3.31132995230379,0.199476364760199,124.1038833,44.13006146,6.2449979983984,0.500179608697487,"E","Attaining","Attaining","Attaining","10",14,1.0152349953652,9.35702430383774,0.0261576897930234,-8.31563161867952,"Group 4",20,"Good","Attaining","OLD","OLD","OLD"
"155","06016DFW","23823","23823 2006","Condon Cr","MWCF",0.98,"Least disturbed",2006,0,"",1.04139268515823,2227.242,0.339381869112333,0.209499403340439,3.3142886609475,0.0220133821537293,123.9853486,44.08528001,13.1909059582729,1.42889927219073,"E","Attaining","Attaining","Attaining","10",14,1.0152349953652,9.35702430383774,0.0261576897930234,-8.31563161867952,"Group 4",20,"Good","Attaining","OLD","OLD","OLD"
"156","06017DFW","33336","33336 2006","Mill Cr","MWCF",1.21,"Least disturbed",2006,0,"",1,2222.912,0.936028911909021,0.258708329977989,3.37438169805088,0.179178227772399,124.0697646,44.20729516,26.6833281282527,0.500179608697487,"R","Attaining","Attaining","Attaining","9",14,1.0152349953652,9.35702430383774,-0.0152349953652018,-8.35702430383774,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"157","06018DFW","33318","33318 2006","Hadsall Cr","MWCF",1.1,"Least disturbed",2006,0,"",1.17609125905568,2064.30021,1.52623017304857,0.091706052144883,3.30941722577814,0.105201818205635,123.8377815,44.00524289,8.88819441731559,1.32332926362445,"E","Attaining","Attaining","Attaining","14",14,1.0152349953652,9.35702430383774,0.16085626369048,-8.18093304478206,"Group 4",20,"Good","Attaining","OLD","OLD","OLD"
"158","06020DFW","33316","33316 2006","Divide Cr","MWCF",1.14,"Least disturbed",2006,0,"",1,2155.748,1.21640080658138,0.169911741795557,3.32118402730231,0.160257918666977,123.9477032,44.05273967,24.8997991959775,1.32332926362445,"E","Attaining","Attaining","Attaining","9",14,1.0152349953652,9.35702430383774,-0.0152349953652018,-8.35702430383774,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"159","06021DFW","33317","33317 2006","Divide Cr","MWCF",1.13,"Least disturbed",2006,0,"",1.04139268515823,2155.748,1.21640080658138,0.169911741795557,3.3163897510732,0.160257918666977,123.9399355,44.02355362,20.0997512422418,1.32332926362445,"E","Attaining","Attaining","Attaining","10",14,1.0152349953652,9.35702430383774,0.0261576897930234,-8.31563161867952,"Group 4",20,"Good","Attaining","OLD","OLD","OLD"
"160","06022DFW","17122","17122 2006","Spout Creek","MWCF",0.79,"Most disturbed",2006,0,"",1.17609125905568,1903.77713,1.2587361488795,0.0994484791236146,3.25285303097989,0.0680208155603473,123.6864953,44.55217087,17.464249196573,1.47062890563334,"E","Impaired","Potential Concern","Potential Concern","14",14,1.0152349953652,9.35702430383774,0.16085626369048,-8.18093304478206,"Group 4",20,"Good","Potential Concern","OLD","NEW","NEW"
"161","06023DFW","33354","33354 2006","Oglesby Cr","MWCF",1.01,"Least disturbed",2006,0,"",1.20411998265592,1714.87,0.103557436942102,0.223964282866711,3.23879856271392,0.00582678900894796,123.7270777,44.6377982,16.7928556237467,1.47062890563334,"E","Attaining","Attaining","Attaining","15",14,1.0152349953652,9.35702430383774,0.188884987290723,-8.15290432118182,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"162","06024DFW","33361","33361 2006","Siletz R, S Fk","MWCF",0.84,"Most disturbed",2006,0,"",1,3426.75422,2.0843257446617,0.10084641788383,3.49485002168009,0.347285585792435,123.7002646,44.8773556,27.4772633280682,0.725253222200054,"R","Impaired","Impaired","Impaired","9",3,0.44053025593237,1.75759355853577,0.55946974406763,-0.757593558535771,"Group 1",4,"Poor","Impaired - Sediment Stressor","OLD","OLD","OLD"
"163","06025DFW","33362","33362 2006","Little Boulder Cr","MWCF",1.09,"Least disturbed",2006,0,"",0.698970004336019,3983.70146,1.24797915506062,0.255890601624991,3.54468802230268,0.320879544422456,123.6657129,44.92737696,37.9473319220206,0.725253222200054,"R","Attaining","Attaining","Attaining","4",3,0.44053025593237,1.75759355853577,0.258439748403649,-1.05862355419975,"Group 1",4,"Poor","Attaining","OLD","OLD","OLD"
"164","06026DFW","33358","33358 2006","Buck Cr, E Fk","MWCF",1.07,"Least disturbed",2006,0,"",0.903089986991944,3117.191,0.73565158664151,0.327123829764816,3.47596158919242,0.168849439670713,123.7928626,44.83035806,27.2396769437525,0.775397496610753,"R","Attaining","Attaining","Attaining","7",14,1.0152349953652,9.35702430383774,-0.112145008373258,-8.4539343168458,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"165","06027DFW","33359","33359 2006","Fourth Of July Cr","MWCF",1.08,"Least disturbed",2006,0,"",1.25527250510331,3631.23,1.10824764281866,0.149197855212466,3.48742121135947,0.101523547527339,123.7071312,44.81627973,29.6479341607472,0.775397496610753,"E","Attaining","Attaining","Attaining","17",14,1.0152349953652,9.35702430383774,0.240037509738104,-8.10175179873444,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"166","06028DFW","33357","33357 2006","Mill Cr, N Fk","MWCF",1.04,"Least disturbed",2006,0,"",1,3125.27226,1.18961073160776,0.243721152139079,3.32056168019524,0.26945989774472,123.7584755,44.76677713,16.7032930884901,0.775397496610753,"E","Attaining","Attaining","Attaining","9",8,0.77466588484141,4.95204059846906,0.22533411515859,-3.95204059846906,"Group 2",11,"Fair","Attaining","OLD","NEW","NEW"
"167","06029DFW","33355","33355 2006","Stemple Cr","MWCF",0.92,"Least disturbed",2006,0,"",1.38021124171161,-9999,NA,NA,3.30535136944662,NA,123.9671218,44.83844207,5.47722557505166,0.835481873978228,"E","Attaining","Attaining",NA,"23",25,1.24286459372765,16.4930119865445,0.137346647983959,-15.1128007448329,"Group 5",36,"Good","Attaining","NEW","NEW","NEW"
"168","06030DFW","33353","33353 2006","Klamath Cr","MWCF",1.15,"Least disturbed",2006,0,"",1.32221929473392,2025.685,0.840528259414601,0.176493625947228,3.29269900304393,0.0735781953804112,123.8466761,44.68717178,11.7473401244707,1.47062890563334,"E","Attaining","Attaining","Attaining","20",14,1.0152349953652,9.35702430383774,0.306984299368718,-8.03480500910382,"Group 4",20,"Poor","Attaining","OLD","OLD","OLD"
"169","06031DFW","33350","33350 2006","Olalla Cr, Trib A","MWCF",1.08,"Least disturbed",2006,0,"",1.39794000867204,1939.907,0.473656275411892,0.239499478078763,3.27207378750001,0.0466327034770747,123.913705,44.65104259,6.2449979983984,1.28403977458335,"E","Attaining","Attaining","Attaining","24",14,1.0152349953652,9.35702430383774,0.382705013306836,-7.9590842951657,"Group 4",20,"Poor","Attaining","OLD","OLD","OLD"
"170","06032DFW","33366","33366 2006","Bear Cr","MWCF",1.02,"Least disturbed",2006,0,"",0.903089986991944,2760.86878,1.25806710658019,0.124819870213039,3.40140054078154,0.102663620549651,123.8914743,44.99066071,14.9331845230681,0.825440953414278,"R","Attaining","Attaining","Attaining","7",14,1.0152349953652,9.35702430383774,-0.112145008373258,-8.4539343168458,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"171","06033DFW","33337","33337 2006","Cummins Cr","MWCF",1.06,"Least disturbed",2006,1,"",0.903089986991944,2348.83763,1.58605175728531,0.134499070628759,3.38524868240322,0.2251343548213,124.0623456,44.26682992,13.7840487520902,0.500179608697487,"R","Attaining","Attaining","Attaining","7",14,1.0152349953652,9.35702430383774,-0.112145008373258,-8.4539343168458,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
"172","06034DFW","33343","33343 2006","Flynn Cr","MWCF",1.04,"Least disturbed",2006,0,"",1.32221929473392,2151.987,1.08311043111515,0.142618371888057,3.36040405472994,0.0884756911660202,123.8569804,44.54666746,26.1916017074176,1.42889927219073,"E","Attaining","Attaining","Attaining","20",14,1.0152349953652,9.35702430383774,0.306984299368718,-8.03480500910382,"Group 4",20,"Poor","Attaining","OLD","OLD","OLD"
"173","06035DFW","26819","26819 2006","Five R (Lobster Cr)","MWCF",0.89,"Moderately disturbed",2006,0,"",1.20411998265592,2229.71025,1.91457008413434,0.0389871773792359,3.30081279411812,0.0505101499420428,123.8216858,44.2827552,14.9331845230681,1.42889927219073,"E","Attaining","Attaining","Potential Concern","15",14,1.0152349953652,9.35702430383774,0.188884987290723,-8.15290432118182,"Group 4",20,"Fair","Attaining","OLD","OLD","OLD"
