"","X","SVN","STATION_KEY","SY","SITE_NAME","PREDATOR_Nov05_model","PREDATOR_Nov05_score","PREDATOR_Nov05_Condition","Year_Sampled","Ref_Samples","NewSample","FSS_May05","FSS_May05_trans","AREAWTMAP","MAFLOWU_trans","SLOPE_trans","PRECIPSITE_MM_trans","STRMPOWER_trans","LONG_NHD_trans","LAT_NHD","ELEV_FT_trans","PCT_FSP3_trans","ERODRES_CAT","coords.x1","coords.x2","Use.303d","sample_status","biocriteria_status","biocriteria_status.OLD","FSS","Q75TH","fss_pred_trans","fss_pred","fss_pred_resids_trans","fss_pred_resids","Group","Q90TH","fss_resid_cond","sediment_resid_status","NEW_STATION","NEW_SAMPLE","NEW"
"173",541,"08137DFW","dfw_39731","dfw_39731 2008","Cougar Cr","MWCF",0.89,"Moderately disturbed",2008,0,"Yes",15,1.20411998265592,1929.325,1.0965568749184,0.160374561573836,3.27230584440209,0.112443681107158,123.757134,44.58458305,16.4924225024706,1.47062890563334,"E",-2168118.6995,2718409.14429999,"Yes","Attaining","Attaining",NA,15,14,1.0152349953652,9.35702430383774,0.188884987290723,5.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"182",550,"08147DFW","dfw_39730","dfw_39730 2008","Sweet Cr","MWCF",0.89,"Moderately disturbed",2008,0,"Yes",7,0.903089986991944,2225.44687,1.80856542327016,0.15582040944626,3.33203427702752,0.404525617339356,123.903327,43.96337688,11.4455231422596,1.32332926362445,"E",-2199181.1895,2655436.70889999,"Yes","Attaining","Attaining",NA,7,8,0.77466588484141,4.95204059846906,0.128424102150533,2.04795940153094,"Group 2",11,"Good","Attaining","NEW","NEW","NEW"
"162",461,"08026DFW","dfw_39729","dfw_39729 2008","Preacher Cr","MWCF",1.09,"Least disturbed",2008,0,"Yes",7,0.903089986991944,2447.601,0.619103770272466,0.199072850986768,3.27067883614471,0.0512431407930769,123.7387879,44.26043589,18.9208879284245,1.42889927219073,"E",-2177058.4681,2683355.83829999,"Yes","Attaining","Attaining",NA,7,14,1.0152349953652,9.35702430383774,-0.112145008373258,-2.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"172",540,"08136DFW","dfw_39723","dfw_39723 2008","Wright Cr Trib B","MWCF",1.08,"Least disturbed",2008,0,"Yes",13,1.14612803567824,2096.8942,1.47538161056565,0.0327108544675923,3.28981183911762,0.013217245262879,123.962363,44.55458213,5.47722557505166,1.28403977458335,"E",-2184578.9558,2719864.21599999,"Yes","Attaining","Attaining",NA,13,14,1.0152349953652,9.35702430383774,0.130893040313036,3.64297569616226,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
"161",460,"08025DFW","dfw_39722","dfw_39722 2008","Siuslaw R","MWCF",0.9,"Moderately disturbed",2008,0,"Yes",18,1.27875360095283,1259.83685,2.55272718856884,0.00894427190999916,3.13640344813399,0.0121974883005392,123.4371323,43.85627175,23.3452350598575,1.47062890563334,"E",-2166879.4963,2633281.36179999,"Yes","Attaining","Attaining",NA,18,14,1.0152349953652,9.35702430383774,0.263518605587627,8.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"179",547,"08144DFW","dfw_39721","dfw_39721 2008","Big Cr","MWCF",0.81,"Most disturbed",2008,0,"Yes",7,0.903089986991944,2329.90487,1.63866663251944,0.103440804327886,3.34024576156793,0.162845125392867,124.0823574,44.16875265,10.2469507659596,0.500179608697487,"R",-2206214.9155,2681497.99749999,"Yes","Impaired","Impaired",NA,7,14,1.0152349953652,9.35702430383774,-0.112145008373258,-2.35702430383774,"Group 4",20,"Fair","Impaired - Unknown Stressor","NEW","NEW","NEW"
"147",446,"08008DFW","dfw_39720","dfw_39720 2008","Lobster Cr S Fk","MWCF",1.09,"Least disturbed",2008,0,"Yes",7,0.903089986991944,2481.951,0.503158522127655,0.203789106676486,3.29512708525219,0.0377284073360573,123.6042524,44.2319527,33.3466640010661,1.42889927219073,"E",-2167708.2197,2677239.30749999,"Yes","Attaining","Attaining",NA,7,7,0.717561516606581,4.21869020300477,0.185528470385362,2.78130979699523,"Group 3",9,"Good","Attaining","NEW","NEW","NEW"
"181",549,"08146DFW","dfw_39716","dfw_39716 2008","Adams Cr","MWCF",1.19,"Least disturbed",2008,0,"Yes",7,0.903089986991944,2533.125,0.222110116231002,0.303842064237327,3.3392526340327,0.0259769845093134,123.6068559,44.51800436,28.2311884269862,1.47062890563334,"E",-2158776.8669,2707838.55499999,"Yes","Attaining","Attaining",NA,7,14,1.0152349953652,9.35702430383774,-0.112145008373258,-2.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"171",539,"08134DFW","dfw_39715","dfw_39715 2008","Long Prarie Cr","MWCF",0.98,"Least disturbed",2008,0,"Yes",13,1.14612803567824,2051.63319,1.1161370032689,0.0908845421400141,3.29600666931367,0.0412599113063014,123.815478,44.71015399,14.7309198626562,0.835481873978228,"E",-2168449.0249,2733085.59899999,"Yes","Attaining","Attaining",NA,13,14,1.0152349953652,9.35702430383774,0.130893040313036,3.64297569616226,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
"160",459,"08024DFW","dfw_39710","dfw_39710 2008","Arnold Cr","MWCF",1.03,"Least disturbed",2008,0,"Yes",8,0.954242509439325,2207.335,0.19153764114617,0.215011627592556,3.33344727449675,0.0109889164032979,123.9516186,44.39394774,11.8743420870379,1.20193334256827,"E",-2188964.0998,2702492.28779999,"Yes","Attaining","Attaining",NA,8,14,1.0152349953652,9.35702430383774,-0.0609924859258769,-1.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"170",538,"08133DFW","dfw_39708","dfw_39708 2008","Drift Cr","MWCF",0.92,"Least disturbed",2008,0,"Yes",6,0.845098040014257,3208.92055,2.16380711650784,0.0818535277187245,3.4144719496293,0.294526087435911,123.9119295,44.90130698,15.6843871413581,0.835481873978228,"R",-2169590.3431,2755659.47879999,"Yes","Attaining","Attaining",NA,6,8,0.77466588484141,4.95204059846906,0.0704321551728466,1.04795940153094,"Group 2",11,"Good","Attaining","NEW","NEW","NEW"
"221",667,"09161DFW","dfw_3725","dfw_3725 2009","Wildcat Cr.","MWCF",1,"Least disturbed",2009,0,"Yes",2,0.477121254719662,2788.598,0.84697818202264,0.249058226123933,3.42634857378751,0.138006914304799,123.8901386,44.89854511,22.1810730128188,0.835481873978228,"R",-2168034.3958,2754867.92119999,"Yes","Attaining","Attaining",NA,2,14,1.0152349953652,9.35702430383774,-0.538113740645539,-7.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"154",453,"08016DFW","dfw_3724","dfw_3724 2008","North Cr","MWCF",1.01,"Least disturbed",2008,0,"Yes",3,0.602059991327962,2810.6367,1.14258748178155,0.172307864010903,3.44715803134222,0.140695025319824,123.9055827,44.91399624,21.1896201004171,0.835481873978228,"R",-2168702.4845,2756866.48559999,"Yes","Attaining","Attaining",NA,3,14,1.0152349953652,9.35702430383774,-0.413175004037239,-6.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"208",634,"09118DFW","dfw_36277","dfw_36277 2009","Sweet Cr.","MWCF",0.49,"Most disturbed",2009,0,"Yes",38,1.5910646070265,2218.5848,1.95704204926722,0.0148323969741913,3.31868926994775,0.00847584654005308,123.8948457,43.99179068,5.09901951359278,1.32332926362445,"E",-2197619.5061,2658270.72889999,"Yes","Impaired","Impaired",NA,38,14,1.0152349953652,9.35702430383774,0.575829611661297,28.6429756961623,"Group 4",20,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW"
"169",537,"08131DFW","dfw_3622","dfw_3622 2008","Whiskey Cr","MWCF",0.89,"Moderately disturbed",2008,0,"Yes",16,1.23044892137827,3370.427,0.794075863901423,0.156907616131276,3.45484486000851,0.0525466245643863,123.7046902,44.80277113,29.5972971738975,0.775397496610753,"E",-2157094.9475,2740439.47449999,"Yes","Attaining","Attaining",NA,16,14,1.0152349953652,9.35702430383774,0.215213926013072,6.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"193",586,"09056DFW","dfw_36062","dfw_36062 2009","Fall Creek","MWCF",1,"Least disturbed",2009,0,"Yes",10,1.04139268515823,2878.15003,1.52877958034584,0.0961249187255833,3.3055663135153,0.114935552748344,123.7433284,44.39324346,13.7840487520902,1.20193334256827,"E",-2173156.4275,2697643.95359999,"Yes","Attaining","Attaining",NA,10,14,1.0152349953652,9.35702430383774,0.0261576897930234,0.642975696162258,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
"203",611,"09090DFW","dfw_36061","dfw_36061 2009","N. F. Alsea R.","MWCF",0.9,"Moderately disturbed",2009,0,"Yes",16,1.23044892137827,2451.86396,1.93773593735244,0.0600832755431992,3.21906033244886,0.116997039634569,123.5715002,44.39341011,17.6635217326557,0.886077123792614,"E",-2160078.0139,2693721.64119999,"Yes","Attaining","Attaining",NA,16,14,1.0152349953652,9.35702430383774,0.215213926013072,6.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"168",536,"08130DFW","dfw_3544","dfw_3544 2008","Sams Cr","MWCF",1.05,"Least disturbed",2008,0,"Yes",14,1.17609125905568,2106.68942,1.26917565132068,0.0886002257333467,3.28600712207947,0.0561600631884284,123.7855751,44.71769463,15.7797338380595,0.835481873978228,"E",-2165942.6762,2733207.66029999,"Yes","Attaining","Attaining",NA,14,14,1.0152349953652,9.35702430383774,0.16085626369048,4.64297569616226,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
"159",458,"08023DFW","dfw_35429","dfw_35429 2008","Salmon R","MWCF",0.8,"Most disturbed",2008,0,"Yes",2,0.477121254719662,3222.83116,2.16554579341962,0.101439637223326,3.39480177716271,0.397276309969916,123.8726466,45.01891594,13.9283882771841,0.825440953414278,"R",-2162833.6658,2767300.52729999,"Yes","Impaired","Impaired",NA,2,8,0.77466588484141,4.95204059846906,-0.297544630121748,-2.95204059846906,"Group 2",11,"Good","Impaired - Unknown Stressor","NEW","NEW","NEW"
"146",445,"08007DFW","dfw_35212","dfw_35212 2008","Neiglick Canyon","MWCF",0.98,"Least disturbed",2008,0,"Yes",4,0.698970004336019,2206.01,0.110599810053483,0.328009146213943,3.34360550810417,0.013344727098036,123.9808429,44.27453254,21.51743479135,0.927295218001612,"E",-2195050.3495,2690427.98899999,"Yes","Attaining","Attaining",NA,4,14,1.0152349953652,9.35702430383774,-0.316264991029183,-5.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"183",554,"09003DFW","dfw_35004","dfw_35004 2009","Alsea River","MWCF",0.51,"Most disturbed",2009,0,"Yes",21,1.34242268082221,2310.98889,2.48314965855974,0.0441588043316392,3.18298496700358,0.201732127022241,123.6852285,44.35273183,14.9331845230681,1.20193334256827,"E",-2170020.2193,2691982.83769999,"Yes","Impaired","Impaired",NA,21,14,1.0152349953652,9.35702430383774,0.327187685457004,11.6429756961623,"Group 4",20,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW"
"178",546,"08143DFW","dfw_35002","dfw_35002 2008","Meadow Cr.","MWCF",1.03,"Least disturbed",2008,0,"Yes",10,1.04139268515823,1635.92373,0.523457708036839,0.197002538054716,3.24674470972384,0.0377169565471097,123.6626738,44.02472442,21.0475651798492,1.32332926362445,"E",-2178796.2779,2656441.61579999,"Yes","Attaining","Attaining",NA,10,14,1.0152349953652,9.35702430383774,0.0261576897930234,0.642975696162258,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
"201",609,"09088DFW","dfw_35002","dfw_35002 2009","Meadow Cr.","MWCF",1.1,"Least disturbed",2009,0,"Yes",14,1.17609125905568,1635.92373,0.523457708036839,0.197002538054716,3.24674470972384,0.0377169565471097,123.6626738,44.02472442,21.0475651798492,1.32332926362445,"E",-2178796.2779,2656441.61579999,"Yes","Attaining","Attaining",NA,14,14,1.0152349953652,9.35702430383774,0.16085626369048,4.64297569616226,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
"212",652,"09141DFW","dfw_3429","dfw_3429 2009","Yaquina R.","MWCF",1.01,"Least disturbed",2009,0,"Yes",17,1.25527250510331,2062.10247,1.40681259347842,0.0630079360080935,3.15624619039734,0.0403366668308758,123.6070904,44.65396144,15.3622914957372,1.47062890563334,"E",-2154457.2,2722352.60329999,"Yes","Attaining","Attaining",NA,17,14,1.0152349953652,9.35702430383774,0.240037509738104,7.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"209",635,"09119DFW","dfw_3370","dfw_3370 2009","Thornton Cr.","MWCF",0.96,"Least disturbed",2009,0,"Yes",20,1.32221929473392,2003.12457,1.26446245309236,0.0827042925125413,3.27137687189407,0.0487963422050577,123.838146,44.65817789,6.78232998312527,1.47062890563334,"E",-2171836.699,2728061.62519999,"Yes","Attaining","Attaining",NA,20,14,1.0152349953652,9.35702430383774,0.306984299368718,10.6429756961623,"Group 4",20,"Poor","Attaining","NEW","NEW","NEW"
"180",548,"08145DFW","dfw_3285","dfw_3285 2008","West Olla Cr Trib A","MWCF",0.69,"Most disturbed",2008,0,"Yes",45,1.66275783168157,1970.785,0.642833365485514,0.116704755687161,3.27021285489624,0.0196240984596598,123.9248572,44.6624987,8.30662386291807,1.28403977458335,"E",-2178266.7265,2730506.83149999,"Yes","Impaired","Impaired",NA,45,14,1.0152349953652,9.35702430383774,0.647522836316372,35.6429756961623,"Group 4",20,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW"
"144",443,"08005DFW","dfw_3124","dfw_3124 2008","Maltby Cr","MWCF",1.25,"Enriched",2008,0,"Yes",9,1,2451.843,0.195921781500569,0.216587164901339,3.31238894937059,0.0114615192856113,123.6782281,44.38319364,22.6936114358204,1.20193334256827,"E",-2168502.7939,2695088.38449999,"Yes","Potential Concern","Potential Concern",NA,9,14,1.0152349953652,9.35702430383774,-0.0152349953652018,-0.357024303837742,"Group 4",20,"Fair","Potential Concern","NEW","NEW","NEW"
"215",655,"09144DFW","dfw_3073","dfw_3073 2009","Alder Cr.","MWCF",1.06,"Least disturbed",2009,0,"Yes",23,1.38021124171161,2067.45,0.136314613296712,0.188997354478839,3.30081279411812,0.00568261245776384,123.8243202,44.28640183,15.3622914957372,1.42889927219073,"E",-2182743.5121,2688089.07619999,"Yes","Attaining","Attaining",NA,23,14,1.0152349953652,9.35702430383774,0.364976246346404,13.6429756961623,"Group 4",20,"Poor","Attaining","NEW","NEW","NEW"
"175",543,"08139DFW","dfw_2974","dfw_2974 2008","Bear Cr","MWCF",1.03,"Least disturbed",2008,0,"Yes",6,0.845098040014257,2061.604,0.292143051454897,0.250059992801727,3.33645973384853,0.025304599253539,123.7748032,44.35307794,30.1496268633627,1.42889927219073,"E",-2176829.4239,2694068.36609999,"Yes","Attaining","Attaining",NA,6,14,1.0152349953652,9.35702430383774,-0.170136955350945,-3.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"214",654,"09143DFW","dfw_2950","dfw_2950 2009","Scott Cr.","MWCF",1.06,"Least disturbed",2009,0,"Yes",7,0.903089986991944,2581.76313,0.977921507044835,0.139499103939774,3.32878720035453,0.0665101397288636,123.8323341,44.40019297,6.2449979983984,1.20193334256827,"E",-2179693.1311,2700414.06369999,"Yes","Attaining","Attaining",NA,7,14,1.0152349953652,9.35702430383774,-0.112145008373258,-2.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"218",664,"09158DFW","dfw_2891","dfw_2891 2009","Flynn Cr.","MWCF",0.58,"Most disturbed",2009,0,"Yes",46,1.67209785793572,2151.987,1.08311043111515,0.142618371888057,3.35082927358297,0.0884756911660202,123.8594901,44.52614304,22.248595461287,1.42889927219073,"E",-2177688.4239,2714479.28629999,"Yes","Impaired","Impaired",NA,46,14,1.0152349953652,9.35702430383774,0.656862862570516,36.6429756961623,"Group 4",20,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW"
"152",451,"08013DFW","dfw_2876","dfw_2876 2008","Cedar Cr","MWCF",1.14,"Least disturbed",2008,0,"Yes",9,1,2012.74,0.0998497689808666,0.331421182183638,3.33000770087276,0.0121589184375765,123.9699813,44.47711395,19.7484176581315,1.42889927219073,"E",-2187675.5629,2711779.42669999,"Yes","Attaining","Attaining",NA,9,14,1.0152349953652,9.35702430383774,-0.0152349953652018,-0.357024303837742,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"216",662,"09156DFW","dfw_2782","dfw_2782 2009","Wildcat Cr.","MWCF",1.21,"Least disturbed",2009,0,"Yes",6,0.845098040014257,2477.943,0.341648156782479,0.296428743545561,3.41010207664286,0.043401402064843,123.9715693,44.22428345,25.1594912508182,0.500179608697487,"R",-2195968.8047,2684853.85809999,"Yes","Attaining","Attaining",NA,6,14,1.0152349953652,9.35702430383774,-0.170136955350945,-3.35702430383774,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"142",441,"08003DFW","dfw_2724","dfw_2724 2008","Wapiti Cr","MWCF",0.97,"Least disturbed",2008,0,"Yes",5,0.778151250383644,2310.123,1.15217455655719,0.277668867538296,3.33665982345442,0.304799160958724,124.0798892,44.12729419,15.0332963783729,0.500179608697487,"R",-2207372.6902,2677017.94979999,"Yes","Attaining","Attaining",NA,5,3,0.44053025593237,1.75759355853577,0.337620994451274,3.24240644146423,"Group 1",4,"Poor","Attaining","NEW","NEW","NEW"
"167",535,"08129DFW","dfw_2492","dfw_2492 2008","Wolf Cr at RM 3.12 (Umpqua)","MWCF",0.85,"Most disturbed",2008,0,"Yes",11,1.07918124604762,1401.21975,1.97719325947162,0.106583300755794,3.14983469671578,0.315240226865684,123.4295192,43.92493463,26.9258240356725,1.47062890563334,"E",-2164115.0806,2640449.64369999,"Yes","Impaired","Impaired",NA,11,8,0.77466588484141,4.95204059846906,0.304515361206215,6.04795940153094,"Group 2",11,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW"
"157",456,"08020DFW","dfw_2464","dfw_2464 2008","Pittenger Cr","MWCF",0.85,"Most disturbed",2008,0,"Yes",20,1.32221929473392,1489.35,0.629579817333198,0.195780489324141,3.18440748541232,0.0511601702093602,123.5446232,43.97129053,24.1660919471891,1.47062890563334,"E",-2171463.705,2648030.48059999,"Yes","Impaired","Impaired",NA,20,14,1.0152349953652,9.35702430383774,0.306984299368718,10.6429756961623,"Group 4",20,"Poor","Impaired - Sediment Stressor","NEW","NEW","NEW"
"156",455,"08019DFW","dfw_2380","dfw_2380 2008","Pataha Cr","MWCF",1.1,"Least disturbed",2008,0,"Yes",19,1.30102999566398,1495.47,0.34035090008544,0.184553515274026,3.19256745333655,0.0172485089697729,123.5580528,43.99397366,22.4722050542442,1.36943840600457,"E",-2171769.2736,2650761.42769999,"Yes","Attaining","Attaining",NA,19,14,1.0152349953652,9.35702430383774,0.285795000298779,9.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"224",670,"09164DFW","dfw_2287","dfw_2287 2009","Nelson Cr.","MWCF",1,"Least disturbed",2009,0,"Yes",12,1.11394335230684,1811.12,0.23960975740236,0.193313217344288,3.21722065564452,0.011787447387084,123.5653207,44.11680494,26.3818119165458,1.34528292089677,"E",-2168408.6272,2664051.64149999,"Yes","Attaining","Attaining",NA,12,14,1.0152349953652,9.35702430383774,0.0987083569416349,2.64297569616226,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
"174",542,"08138DFW","dfw_2283","dfw_2283 2008","Nelson Cr","MWCF",1,"Least disturbed",2008,0,"Yes",15,1.20411998265592,1754.46415,1.52318893788454,0.073143694191639,3.26951294421792,0.069339015279983,123.6510902,44.09269557,19.8494332412792,1.34528292089677,"E",-2175735.589,2663436.57659999,"Yes","Attaining","Attaining",NA,15,14,1.0152349953652,9.35702430383774,0.188884987290723,5.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"199",606,"09084DFW","dfw_2150","dfw_2150 2009","Long Cr.","MWCF",1.04,"Least disturbed",2009,0,"Yes",15,1.20411998265592,2249.33,0.148602654806093,0.172336879396141,3.31154195840119,0.00523097699371836,123.8823117,44.13968444,23.6220236220354,1.5707963267949,"E",-2191891.4307,2673766.74389999,"Yes","Attaining","Attaining",NA,15,14,1.0152349953652,9.35702430383774,0.188884987290723,5.64297569616226,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"192",579,"09048DFW","dfw_2144","dfw_2144 2009","Elk Cr.","MWCF",1.04,"Least disturbed",2009,0,"Yes",12,1.11394335230684,2202.674,0.243516749536932,0.187803088366512,3.31238894937059,0.0113676568554381,123.8596199,44.11635706,19.8494332412792,1.5707963267949,"E",-2190910.5453,2670753.79759999,"Yes","Attaining","Attaining",NA,12,14,1.0152349953652,9.35702430383774,0.0987083569416349,2.64297569616226,"Group 4",20,"Good","Attaining","NEW","NEW","NEW"
"155",454,"08018DFW","dfw_2008","dfw_2008 2008","Drew Cr","MWCF",1.03,"Least disturbed",2008,0,"Yes",9,1,2319.477,0.352136190895797,0.199549492607724,3.30749603791321,0.0210922722219584,123.9626478,44.09972819,14.247806848775,1.42889927219073,"E",-2199315.7249,2671358.96359999,"Yes","Attaining","Attaining",NA,9,14,1.0152349953652,9.35702430383774,-0.0152349953652018,-0.357024303837742,"Group 4",20,"Fair","Attaining","NEW","NEW","NEW"
"200",608,"09087DFW","dfw_1998","dfw_1998 2009","McLeod Cr.","MWCF",0.69,"Most disturbed",2009,0,"Yes",8,0.954242509439325,2152.304,1.55150135391857,0.12397580409096,3.3155505344219,0.185220977764923,123.9036961,44.0896524,15.4919333848297,1.42889927219073,"E",-2195138.3633,2668920.73419999,"Yes","Impaired","Impaired",NA,8,14,1.0152349953652,9.35702430383774,-0.0609924859258769,-1.35702430383774,"Group 4",20,"Fair","Impaired - Unknown Stressor","NEW","NEW","NEW"
